menu_id,nama_minuman,harga,temperatur_opsi,rasa_asam,rasa_manis,rasa_pahit,rasa_gurih,kafein_score,carbonated_score,sweetness_level,tekstur_LIGHT,tekstur_CREAMY,tekstur_BUBBLY,harga_score,availability,foto,created_at,updated_at,tekstur_HEAVY,original_harga,kafein,carbonated,rasa_netral,sweetness_score,tingkat_kafein
MI_22,TEH LEMON,0.4444444444444445,both,1.0,0.4444444444444445,0.3,0.0,1.0,0.0,Low,1,0,0,0.44,Tersedia,teh_lemon.png,2025-07-27 18:46:53,2025-08-04 22:19:58,0,15000.00,Ya,Tidak,0.5000000000000002,0.2,rendah
MI_23,TEH JAHE,0.4444444444444445,both,0.0,0.4444444444444445,0.3,0.25,1.0,0.0,Low,1,0,0,0.44,Tersedia,teh_jahe.png,2025-07-27 18:46:53,2025-08-06 01:39:48,0,15000.00,Ya,Tidak,1.0,0.2,rendah
MI_24,TEH JAHE SEREH,0.6111111111111112,both,0.0,0.4444444444444445,0.3,0.0,1.0,0.0,Low,1,0,0,0.61,Tersedia,teh_sereh.png,2025-07-27 18:46:53,2025-08-06 01:41:13,0,18000.00,Ya,Tidak,1.0,0.2,rendah
MI_25,TEH LECI,0.6111111111111112,cold,0.5714285714285715,0.5555555555555556,0.3,0.0,1.0,0.0,Medium,1,0,0,0.61,Tersedia,teh_lychee.png,2025-07-27 18:46:53,2025-07-30 21:11:49,0,18000.00,Ya,Tidak,0.8333333333333334,0.5,rendah
MI_26,TEH STRAWBERRY,0.6111111111111112,cold,0.42857142857142855,0.5555555555555556,0.3,0.0,1.0,0.0,Low,1,0,0,0.61,Tersedia,teh_strawberry.png,2025-07-26 23:16:19,2025-07-26 23:16:19,0,18000.00,Ya,Tidak,0.8333333333333334,0.2,rendah
MI_27,JAHE MERAH,0.4444444444444445,both,0.0,0.4444444444444445,0.3,0.25,0.0,0.0,Medium,1,0,0,0.44,Tersedia,jahe_merah.png,2025-07-26 23:16:19,2025-08-06 01:38:30,0,15000.00,Tidak,Tidak,1.0,0.5,non-kafein
MI_28,LEMON KISS,0.4444444444444445,cold,1.0,0.5555555555555556,0.0,0.0,0.0,1.0,Medium,1,0,0,0.44,Tersedia,lemon_kiss.png,2025-07-26 23:16:19,2025-07-26 23:16:19,0,15000.00,Tidak,Ya,0.5000000000000002,0.5,non-kafein
MI_29,BANANA,0.7222222222222223,cold,0.0,1.0,0.0,0.25,0.0,0.0,High,0,0,0,0.72,Tersedia,banana.png,2025-07-26 23:16:19,2025-07-31 19:45:29,1,20000.00,Tidak,Tidak,0.16666666666666652,0.8,non-kafein
MI_30,AVOCADO,0.7222222222222223,cold,0.0,0.888888888888889,0.0,0.75,0.0,0.0,High,0,0,0,0.72,Tersedia,avocado.png,2025-07-26 23:16:19,2025-07-31 19:45:29,1,20000.00,Tidak,Tidak,0.33333333333333315,0.8,non-kafein
MI_31,MANGO,0.7222222222222223,cold,0.28571428571428575,0.888888888888889,0.0,0.0,0.0,0.0,High,0,0,0,0.72,Tersedia,mango.png,2025-07-26 23:16:19,2025-07-31 19:45:29,1,20000.00,Tidak,Tidak,0.33333333333333315,0.8,non-kafein
MI_32,STRAWBERRY,0.7222222222222223,cold,0.28571428571428575,0.7777777777777778,0.0,0.0,0.0,0.0,High,0,0,0,0.72,Tersedia,strawberry.png,2025-07-26 23:16:19,2025-07-31 19:45:29,1,20000.00,Tidak,Tidak,0.5000000000000002,0.8,non-kafein
